id,incentives,renewal
649,267.87543296813965,0.8897227
81136,809.5470070838928,0.7475239
70762,352.5157570838928,0.3112378
53935,368.6256408691406,0.73668045
15476,529.8957824707031,0.58660424
64797,901.977002620697,0.84079933
67412,73.26704263687134,0.22736225
44241,112.99395561218262,0.21398243
5069,1131.1544179916382,0.8992875
16615,2328.418493270874,0.89604753
84281,1580.5798172950745,0.85923904
82623,74.7520923614502,0.66752076
86475,124.20237064361572,0.10735899
68263,59.773921966552734,0.5260955
113135,54.3522834777832,0.47591197
45532,1229.6104431152344,0.7372387
102161,629.9704313278198,0.923836
84789,477.95355319976807,0.15881404
62398,778.5347700119019,0.7166274
70148,228.43408584594727,0.7478791
102487,524.0675210952759,0.39574063
100513,444.92483139038086,0.39629808
92702,236.5824580192566,0.43424028
25051,111.59706115722656,0.11768781
92920,1135.7524394989014,0.9033148
25520,686.6975426673889,0.6262824
81869,2353.5919189453125,0.64520687
75402,568.1276321411133,0.8248276
34053,13.819456100463867,0.11657973
21191,747.9114532470703,0.8505313
10864,392.0027017593384,0.78745955
6349,483.6559295654297,0.69282097
85213,566.7194724082947,0.8225967
17255,340.5493497848511,0.676399
108351,59.11087989807129,0.18257958
51437,778.3185839653015,0.7164139
88629,464.00606632232666,0.2366282
85367,95.95870971679688,0.8751823
12313,62.51978874206543,0.5517107
71659,709.7736597061157,0.64882696
35142,434.53073501586914,0.8812298
62988,1373.4626770019531,0.83140594
8793,140.70403575897217,0.4466585
11433,773.8838195800781,0.8829639
30586,1443.9725875854492,0.8782474
53012,234.2739701271057,0.7686186
87924,566.58536195755,0.8223868
106177,807.120144367218,0.7450971
63058,942.4746036529541,0.554626
99537,894.7716951370239,0.6968805
35336,671.6047525405884,0.34641677
78691,64.57328796386719,0.5709589
16161,670.2861785888672,0.7548869
94318,369.9452877044678,0.7395311
96583,273.67401123046875,0.9109336
104560,327.93688774108887,0.6130886
19638,2160.9578132629395,0.89792436
26080,768.3461308479309,0.7065157
113482,589.7954106330872,0.859288
82175,238.43014240264893,0.7834329
1239,208.95534753799438,0.67933965
32521,128.4005641937256,0.111025244
68529,628.6025047302246,0.9216217
38882,25.765299797058105,0.04795473
8299,255.62918186187744,0.8452267
98521,787.7258062362671,0.60795856
47257,393.07326078414917,0.555187
42445,958.7903022766113,0.750859
104700,257.7935457229614,0.19056939
109204,1072.8031396865845,0.8485236
20138,68.05229187011719,0.07141963
28468,1731.3183546066284,0.8514858
94964,443.22681427001953,0.28724387
59773,148.95737171173096,0.47420174
17261,1407.3336124420166,0.8538503
9570,155.0588607788086,0.49466258
55159,72.33273983001709,0.13587008
82480,243.2590126991272,0.80070436
51225,86.26431226730347,0.11642953
53176,21.845340728759766,0.18561512
82883,232.80858993530273,0.76340413
63590,1350.0308990478516,0.81593853
50906,227.55682468414307,0.16781999
21635,306.9283962249756,0.26982957
84000,220.15893459320068,0.4261946
79029,1483.4225177764893,0.9046556
60256,1272.4480032920837,0.8759353
110660,89.3862247467041,0.27887124
51023,1460.772156715393,0.7080282
99146,574.3156671524048,0.5180034
93878,401.2112617492676,0.80760455
93845,232.24014043807983,0.76138157
5364,12.74728775024414,0.10743087
106612,607.6869964599609,0.6791195
79928,747.5681304931641,0.8501053
94761,1235.2409362792969,0.65788865
7126,872.5059628486633,0.81085926
82176,551.2676239013672,0.6118468
53475,66.6961669921875,0.069987595
88108,1522.8402614593506,0.9311914
65166,90.64221382141113,0.82227623
65378,328.7014961242676,0.6511892
47119,692.1161413192749,0.6315678
64338,1785.5572700500488,0.8807687
48872,142.36021041870117,0.4521679
26061,1272.1731662750244,0.875726
78191,761.3697052001953,0.86731344
108224,935.3393912315369,0.8749176
47646,36.612510681152344,0.3153056
63423,934.4746470451355,0.8740303
109453,406.1847925186157,0.57486725
43299,626.2600421905518,0.917835
86879,469.39998865127563,0.67089504
51882,1020.8183526992798,0.8037488
84497,75.32340288162231,0.064816386
19699,922.1776127815247,0.48238945
52164,603.4589409828186,0.54584956
36055,259.3846321105957,0.5062859
17844,1658.7263345718384,0.8125733
12006,700.01220703125,0.79128766
51731,800.4169464111328,0.9163246
101823,468.61839294433594,0.5149694
70611,981.9366931915283,0.77052945
57291,248.41171503067017,0.2171958
3315,490.114688873291,0.4384591
6841,359.32213068008423,0.5049029
95636,122.51436710357666,0.16621657
89508,617.9183721542358,0.9043744
78357,571.8898773193359,0.63632953
30363,1137.8828287124634,0.9051764
65880,728.2122373580933,0.6669107
79166,282.8807830810547,0.5549142
16883,503.4298896789551,0.37951624
19400,265.2711868286133,0.8802301
97846,1153.8984775543213,0.78721064
35938,269.1918611526489,0.52652645
109739,373.7400770187378,0.7477435
7542,111.30791902542114,0.34982145
62506,1467.4365520477295,0.8939362
106686,721.3082313537598,0.6601301
22500,399.9398946762085,0.8048227
73566,415.87650775909424,0.5894687
34462,1165.4133796691895,0.9293458
109,1148.6670970916748,0.7833293
82344,1665.1968955993652,0.8160285
70324,1529.8662185668945,0.82913536
47235,617.4087524414062,0.9035544
78355,589.78271484375,0.65767133
97012,350.4753112792969,0.4918116
103271,945.8557963371277,0.88572806
54640,393.5927152633667,0.79093003
18452,399.5819091796875,0.43552658
80733,668.4240102767944,0.51076496
22069,1068.8073635101318,0.56378955
63586,922.8703379631042,0.8621364
63069,534.2021584510803,0.7713773
66451,1202.1507024765015,0.6390289
5163,444.51820850372314,0.9035174
6542,1495.1062202453613,0.9125111
79333,898.0996012687683,0.8368524
8752,941.6087865829468,0.8813622
37396,756.7291259765625,0.86151594
27502,519.1898345947266,0.3919003
65597,507.66170024871826,0.72996634
50178,853.962779045105,0.7921199
51709,513.6988162994385,0.3345534
32294,625.4138946533203,0.7004553
76360,582.6026201248169,0.8478222
51635,275.5544185638428,0.917835
103391,30.702710151672363,0.05719874
59747,19.205331802368164,0.16279262
21498,800.5245923995972,0.6185047
18771,410.3729724884033,0.7804127
34501,53.92098426818848,0.47194377
77807,167.81455278396606,0.5377304
26350,201.00760459899902,0.36636654
105355,829.3282985687256,0.48454177
5469,263.7448310852051,0.8746672
23826,95.65186500549316,0.082465686
9399,1065.9513473510742,0.8426018
44862,173.40070009231567,0.5567152
104114,91.13717079162598,0.8271781
20407,155.28899431228638,0.49543813
7541,627.6905536651611,0.92014694
72892,208.55998992919922,0.6779577
81994,1738.0006313323975,0.85508186
111007,426.5516996383667,0.8634953
83350,1114.061951637268,0.88436633
55682,484.77351665496826,0.69454145
26680,255.56820631027222,0.84501165
109949,357.9944372177124,0.713767
12482,92.35739707946777,0.8392818
108210,583.1390619277954,0.84867436
35717,1131.2119960784912,0.8993376
74030,658.105194568634,0.5985039
18407,299.23439025878906,0.3223628
113337,192.80683994293213,0.37112835
81673,350.63016414642334,0.69795823
80808,766.0446166992188,0.8731525
87300,581.0782313346863,0.8453966
113610,94.26426887512207,0.85825706
68221,1835.0123763084412,0.82202935
32307,916.9705510139465,0.8561046
53974,824.9450325965881,0.76293117
80255,365.3794527053833,0.5138879
37547,997.3361492156982,0.6724932
62782,937.2780919075012,0.87690955
60206,1552.5214076042175,0.84256554
109533,800.1365661621094,0.9159712
31952,123.07727336883545,0.09003106
31266,70.55783271789551,0.62749356
49517,383.3502531051636,0.5406465
52843,810.1236820220947,0.6264295
107949,423.69961738586426,0.6012835
50424,437.5884532928467,0.3894936
28080,415.70162773132324,0.8394871
63289,232.72079229354858,0.20317669
59792,48.972129821777344,0.42663205
8600,409.714937210083,0.8262917
30415,1043.3067083358765,0.82306516
92033,506.70504570007324,0.72848344
51339,292.2406196594238,0.57442164
104556,1133.070945739746,0.90096366
